linenumber	verserole	suzuki	type	restr
243	on	xxxPxxP	B1	0
243	off	xxxxxPxP	B1	0
244	on	xxPSx	C	0
244	off	pxxPx	A1	0
245	on	PpxSx	D	0
245	off	xpxPx	C	0
246	on	xxxpxXP	B1	0
246	off	pxxpXx	A1	0
247	on	xPxpx	B1	0
247	off	PxPx	A1	0
248	on	xxxxxxPx	A3	0
248	off	xPSx	C	0
249	on	pxxPx	A1	0
249	off	xxxPsx	C	0
250	on	xpxxP	B	0
250	off	pxpx	A1	0
251	on	PxxpxSx	D*	0
251	off	xxxxpxPx	C	0
252	on	pxSxpx	E	0
252	off	pxxxPx	A1	0
253	on	xxxPxxpx	B1	0
253	off	xxpxPx	C	0
254	on	pxxPx	A1	0
254	off	PxPxP	E*	0
255	on	xpxxPx	A	0
255	off	xxxPSP	B1	0
256	on	pxPSx	D	0
256	off	xxxPxpx	B1	0
257	on	xpxxp	B	0
257	off	xpxPx	C	0
258	on	PxpXSx	D*	0
258	off	xxxxpxPx	C	0
259	on	Pxxpxxx	A1	0
259	off	xxxxpxP	B1	0
260	on	PXxPx	A1	0
260	off	xxxPpx	C	0
261	on	pxPxP	D	0
261	off	xxxPxpx	B1	0
262	on	PxxPx	A1	0
262	off	xxxxPxpx	B1	0
263	on	xPxxxxPx	A1	0
263	off	xxxxxxxxPxpx	B1	0
264	on	xpxxxxpxS	A2	0
264	off	xxxxPxxpx	B1	0
265	on	PxxPx	A1	0
265	off	xxxxxpxPx	C	0
266	on	xPxpXsXxpx	D*E	0
266	off	xxPXxpx	B1	0
267	on	PxxPx	A1	0
267	off	xPxxpx	B1	0
268	on	xPxPxxP	E8	0
268	off	xxxPxP	B1	0
269	on	PxPx	A1	0
269	off	xxxxxpxxpx	B1	0
270	on	xxxPxpx	B1	0
270	off	pxxPX	A1	0
271	on	xxxPxpxX	A1	0
271	off	xxxxPxPxx	B1	0
272	on	xxpxPx	C	0
272	off	xxxPxxP	B1	0
273	on	PxxxxpXx	A1	0
273	off	xxxxxPpx	C	0
274	on	PxxpxSx	D*	0
274	off	xxpXxxPx	A1	0
275	on	xxxPxP	B1	0
275	off	xpXSx	C	0
276	on	pxxPpx	D*	0
276	off	xxxxPpx	C	0
277	on	PxxxxxpXx	A1	0
277	off	PXxP	E	0
278	on	xxxxPXx	C	0
278	off	pXsXx	D	0
279	on	pxxxpx	E	0
279	off	xxPxxxP	B1	0
280	on	xxPxxPx	A1	0
280	off	xxxxxPpx	C	0
281	on	xxxPxpX	B1	0
281	off	xxxxPxpx	B1	0
282	on	PxxPXx	D*	0
282	off	PxPx	A1	0
